study_hours,attendance,internal_marks,final_score
0.19429347826086957,0.7711171662125342,0.7015228426395936,0.5072526520891968
0.7377717391304347,0.17098092643051777,0.5042301184433163,0.4412210435159124
0.06114130434782607,0.11529291553133514,0.5807106598984769,0.209136176661615
0.779891304347826,0.3392370572207086,0.12385786802030452,0.6022948690192682
0.32608695652173914,0.7368869209809266,0.09373942470389168,0.3855812946525221
0.358695652173913,0.5403610354223434,0.521150592216582,0.42498376271920324
0.3111413043478261,0.25647138964577654,0.5820642978003383,0.46438623078588426
0.09374999999999999,0.7111716621253408,0.01962774957698815,0.3297250487118424
0.04211956521739128,0.5146457765667576,0.6355329949238577,0.3907772245074691
0.9633152173913042,0.6430517711171664,0.08020304568527914,0.582810132063217
0.9524456521739129,0.14083787465940056,0.8588832487309643,0.91231868369777
0.1372282608695652,0.908549046321526,0.5719120135363789,0.6785018402251569
0.7404891304347826,0.3140326975476839,0.159052453468697,0.6938731327127082
0.36820652173913043,0.10524523160762944,0.3681895093062605,0.2413942411777441
0.6440217391304347,0.560115803814714,0.5458544839255498,0.6144187053474778
0.7214673913043477,0.9095708446866486,0.03282571912013532,0.8714007360900627
0.7146739130434782,0.6520776566757494,0.5140439932318104,0.8209569170816192
0.7377717391304347,0.8278269754768393,0.46768189509306246,0.7806884607057804
0.33152173913043476,0.9376702997275206,0.518668922729836,0.740636501407231
0.6182065217391304,0.817949591280654,0.6626057529610827,0.979649274734791
0.3913043478260869,0.36869891008174394,0.6192893401015227,0.4117774410045464
0.1970108695652174,0.009877384196185224,0.8172588832487306,0.38471530634336426
0.17934782608695654,0.6399863760217985,0.7181049069373941,0.4721801255683047
0.7703804347826086,0.9129768392370574,0.518668922729836,0.7861008876380168
0.7839673913043477,0.23756811989100812,0.3857868020304568,0.3814678501840225
